Average Reservoir Pressure (psi),Cumulative Gas (CO2) Injection (SCF),Cumulative Gas (CO2) Production (SCF),Gas Injection Rate (SCF/day),Water Injection Rate (bbl/day),Cumulative Water Injection (bbl),Cumulative Water Production (bbl),Average Temperature (F),Gas-Oil Ratio SC (SCF/bbl),Water Cut (%),Cumulative Oil Production (bbl),Oil Recovery Factor (%),Cumulative CO2 Stored (SCF)
3501.376465,0,2784465.75,0,0,0,429457.5938,186,255.0738525,0.313938618,2005208.75,3.493177891,0
3501.381104,0,2801681.25,0,0,0,435035.2813,186,255.053009,0.31199339,2017508.375,3.514604807,0
3501.379395,0,2818775.75,0,0,0,440085.8125,186,255.05336,0.312577903,2028615.625,3.533953905,0
3501.376953,0,2834235.75,0,0,0,445539.625,186,255.0501251,0.312735617,2040600.75,3.554832935,0
3501.374756,0,2847778.25,0,0,0,450978.25,186,255.0536041,0.313709944,2052498.625,3.575559616,0
3501.394531,0,2867788.5,0,0,0,455686.2188,186,254.9661865,0.303206712,2063317.875,3.594407558,0
3501.393066,0,2886950.5,0,0,0,459782.5938,186,254.9511108,0.301578671,2072804.75,3.610933781,0
3501.339356,0,2904606.25,0,0,0,466387.8438,186,255.1161346,0.322542608,2086678.125,3.635101795,0
3501.33667,0,2921043.25,0,0,0,472826.5313,186,255.1468353,0.326859236,2099938.25,3.658201695,0
3501.358154,0,2939597.25,0,0,0,478580.8125,186,255.0787048,0.319251895,2112208,3.679576635,0
3501.35669,0,2955893,0,0,0,483930.7188,186,255.0717468,0.318879277,2123635.5,3.699483633,0
3501.343506,0,2973456.5,0,0,0,490095.5938,186,255.1086731,0.323872387,2136505.5,3.721903801,0
3501.34082,0,2989914.75,0,0,0,495543.5,186,255.1166687,0.325328618,2147803.25,3.741585255,0
3501.346924,0,3008081.75,0,0,0,501338.8438,186,255.0849609,0.322031647,2160004.25,3.762839794,0
3501.345459,0,3024069.75,0,0,0,506770.4375,186,255.081192,0.32201618,2171440,3.782761574,0
3501.33374,0,3041592.25,0,0,0,512848.6563,186,255.1049042,0.325340509,2184044.5,3.804719448,0
3501.332275,0,3058531.75,0,0,0,518220.0625,186,255.1094055,0.326313615,2195134,3.82403779,0
3501.333008,0,3069128.5,0,0,0,524083.1875,186,255.0966034,0.325241119,2207298,3.845227957,0
3501.331787,0,3079237,0,0,0,529758.6875,186,255.0953522,0.325510859,2219058,3.865714788,0
3501.404053,0,3097408.5,0,0,0,532652.1875,186,254.7194214,0.277522087,2226590.75,3.87883687,0
3501.403809,0,3110961.5,0,0,0,535247.5625,186,254.6253967,0.264139831,2233821,3.891432762,0
3501.322266,0,3127531.5,0,0,0,541077.125,186,255.0086823,0.314854562,2246506.75,3.913531542,0
3501.319824,0,3143908,0,0,0,545610.9375,186,255.0915985,0.325113326,2255918.25,3.929926872,0
3501.325928,0,3160852.5,0,0,0,551111.625,186,255.0726929,0.323185563,2267437.75,3.949994564,0
3501.325195,0,3176586.5,0,0,0,556545.25,186,255.0682678,0.323004007,2278826.25,3.969834089,0
3501.315674,0,3192073.75,0,0,0,562219.375,186,255.0836639,0.325236082,2290598.25,3.990341663,0
3501.314453,0,3207898,0,0,0,567505.6875,186,255.0868988,0.326005697,2301527.25,4.009380341,0
3501.32251,0,3225392.25,0,0,0,572600.3125,186,255.0404205,0.320755363,2312316,4.028174877,0
3501.321533,0,3240581,0,0,0,577794.4375,186,255.0331574,0.320172757,2323344.75,4.0473876,0
